"YEAR","STATEFIP","st_percent_female_employed","st_percent_male_employed","st_sex_ratio_in_percent_employed","st_percent_female_in_labor_force","st_percent_male_in_labor_force","st_sex_ratio_in_percent_in_labor_force","st_percent_female_above_poverty_line","st_percent_male_above_poverty_line","st_sex_ratio_in_percent_above_poverty_line","st_percent_female_yes_high_school_diploma","st_percent_male_yes_high_school_diploma","st_sex_ratio_in_percent_yes_high_school_diploma","st_percent_female_yes_bachelors","st_percent_male_yes_bachelors","st_sex_ratio_in_percent_yes_bachelors","st_percent_white_childapl","st_percent_nonwhite_childapl","st_race_ratio_in_percent_childapl","st_percent_white_yes_high_school_diploma","st_percent_nonwhite_yes_high_school_diploma","st_race_ratio_in_percent_yes_high_school_diploma","st_median_white_household_income","st_median_nonwhite_household_income","st_race_ratio_in_household_income","st_percent_white_home","st_percent_nonwhite_home","st_race_ratio_home","st_percent_white_in_labor_force","st_percent_nonwhite_in_labor_force","st_race_ratio_in_percent_in_labor_force","st_percent_white_above_poverty_line","st_percent_nonwhite_above_poverty_line","st_race_ratio_in_percent_above_poverty_line","st_percent_male_occw","st_percent_female_occw","st_sex_ratio_in_percent_occw","st_percent_male_occp","st_percent_female_occp","st_sex_ratio_in_percent_occp","st_percent_male_occb","st_percent_female_occb","st_sex_ratio_in_percent_occb","st_percent_nonwhite_vote","st_percent_white_vote","st_race_ratio_in_percent_vote","st_percent_female_yes_literate","st_percent_male_yes_literate","st_sex_ratio_in_percent_yes_literate","st_percent_nonwhite_yes_literate","st_percent_white_yes_literate","st_race_ratio_in_percent_yes_literate","state_name","st_white_e0","st_nonwhite_e0","st_race_ratio_in_e0","st_white_e1","st_nonwhite_e1","st_race_ratio_in_e1","st_whitemale_e0","st_nonwhitemale_e0","st_race_ratio_within_males_in_e0","st_whitemale_e1","st_nonwhitemale_e1","st_race_ratio_within_males_in_e1","st_whitefemale_e0","st_nonwhitefemale_e0","st_race_ratio_within_females_in_e0","st_whitefemale_e1","st_nonwhitefemale_e1","st_race_ratio_within_females_in_e1","st_percent_white_occp","st_percent_nonwhite_occp","st_race_ratio_in_percent_occp","st_percent_white_occb","st_percent_nonwhite_occb","st_race_ratio_in_percent_occb","st_percent_white_occw","st_percent_nonwhite_occw","st_race_ratio_in_percent_occw","st_percent_white_employed","st_percent_nonwhite_employed","st_race_ratio_in_percent_employed"
1977,48,0.936,0.955,1.019,0.481,0.749,1.558,0.834,0.862,1.034,0.581,0.582,1.001,0.1,0.159,1.597,NA,NA,NA,0.375,0.148,2.53,16630,10106,1.646,0.723,0.595,1.215,0.624,0.572,1.09,0.92,0.691,1.331,0.334,0.283,1.179,0.155,0.592,0.263,0.511,0.125,4.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956416368484497,0.923169553279877,1.03601372241974
1977,49,0.956,0.945,0.989,0.461,0.764,1.657,0.896,0.927,1.035,0.73,0.695,0.953,0.123,0.165,1.337,NA,NA,NA,0.416,0.196,2.129,15580,9539,1.633,0.807,0.55,1.468,0.608,0.579,1.05,0.923,0.71,1.301,0.365,0.285,1.282,0.142,0.586,0.243,0.492,0.129,3.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951993763446808,0.897922873497009,1.06021773815155
1977,50,0.934,0.903,0.966,0.462,0.71,1.537,0.88,0.892,1.014,0.693,0.613,0.885,0.136,0.163,1.198,NA,NA,NA,0.34,0.483,0.705,13219,24800,0.533,0.776,1,0.776,0.583,0.383,1.521,0.885,1,0.885,0.323,0.331,0.978,0.141,0.519,0.271,0.536,0.15,3.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vermont",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915582001209259,1,0.915582001209259
1977,51,0.932,0.951,1.02,0.496,0.774,1.559,0.91,0.92,1.011,0.596,0.587,0.985,0.114,0.174,1.522,NA,NA,NA,0.337,0.173,1.947,17200,11470,1.5,0.728,0.574,1.268,0.634,0.61,1.039,0.927,0.871,1.063,0.355,0.295,1.204,0.153,0.547,0.28,0.492,0.158,3.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954842448234558,0.90118682384491,1.05953884124756
1977,53,0.882,0.891,1.009,0.46,0.725,1.578,0.878,0.917,1.044,0.663,0.654,0.986,0.104,0.157,1.506,NA,NA,NA,0.336,0.184,1.824,16255,9631,1.688,0.746,0.392,1.904,0.586,0.563,1.04,0.911,0.743,1.225,0.345,0.264,1.308,0.137,0.611,0.225,0.518,0.125,4.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896914482116699,0.786969304084778,1.13970708847046
1977,54,0.945,0.902,0.955,0.309,0.663,2.145,0.874,0.902,1.031,0.464,0.489,1.053,0.066,0.088,1.347,NA,NA,NA,0.169,0.194,0.868,13129,11181,1.174,0.731,0.845,0.865,0.481,0.488,0.986,0.891,0.831,1.071,0.245,0.309,0.792,0.118,0.552,0.213,0.638,0.139,4.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91541713476181,0.932830214500427,0.981333076953888
1977,55,0.936,0.939,1.003,0.511,0.762,1.491,0.9,0.919,1.022,0.647,0.625,0.967,0.098,0.141,1.44,NA,NA,NA,0.287,0.11,2.619,17000,8262,2.058,0.771,0.295,2.611,0.639,0.509,1.256,0.922,0.642,1.437,0.29,0.221,1.311,0.15,0.577,0.26,0.56,0.201,2.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945651888847351,0.703096985816956,1.34498071670532
1977,56,0.951,0.963,1.012,0.483,0.795,1.644,0.872,0.923,1.059,0.674,0.628,0.932,0.114,0.15,1.314,NA,NA,NA,0.329,0.258,1.274,16397,13385,1.225,0.726,0.67,1.083,0.642,0.559,1.147,0.897,0.918,0.978,0.29,0.258,1.124,0.138,0.556,0.249,0.572,0.186,3.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957629144191742,1,0.957629144191742
1978,1,0.92,0.941,1.023,0.398,0.718,1.803,0.768,0.827,1.077,0.503,0.516,1.026,0.057,0.08,1.409,NA,NA,NA,0.256,0.159,1.614,15829,7000,2.261,0.793,0.488,1.624,0.578,0.472,1.224,0.879,0.562,1.566,0.255,0.26,0.982,0.123,0.52,0.236,0.622,0.22,2.824,0.372,0.523,1.405,NA,NA,NA,NA,NA,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946235358715057,0.885011970996857,1.06917798519135
1978,2,0.881,0.851,0.966,0.577,0.73,1.266,0.937,0.911,0.973,0.715,0.659,0.921,0.101,0.155,1.542,NA,NA,NA,0.418,0.166,2.513,24005,18920,1.269,0.621,0.707,0.879,0.714,0.51,1.4,0.959,0.836,1.146,0.338,0.31,1.09,0.184,0.608,0.303,0.478,0.082,5.818,0.499,0.589,1.18,NA,NA,NA,NA,NA,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908011198043823,0.74499124288559,1.21882128715515
1978,4,0.962,0.935,0.973,0.415,0.67,1.612,0.87,0.887,1.02,0.635,0.675,1.062,0.096,0.152,1.572,NA,NA,NA,0.417,0.214,1.944,16460,12620,1.304,0.779,0.537,1.45,0.558,0.477,1.17,0.907,0.794,1.143,0.352,0.341,1.034,0.163,0.546,0.298,0.485,0.113,4.293,0.351,0.411,1.171,NA,NA,NA,NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955743432044983,0.909164667129517,1.05123245716095
1978,5,0.932,0.962,1.032,0.459,0.694,1.511,0.766,0.802,1.047,0.473,0.496,1.048,0.063,0.082,1.288,NA,NA,NA,0.239,0.094,2.541,12000,7604,1.578,0.684,0.504,1.359,0.569,0.573,0.993,0.832,0.589,1.413,0.247,0.253,0.976,0.131,0.502,0.26,0.622,0.245,2.544,0.337,0.449,1.332,NA,NA,NA,NA,NA,NA,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953939914703369,0.931474685668945,1.02411794662476
1978,6,0.917,0.922,1.005,0.513,0.762,1.484,0.897,0.911,1.015,0.686,0.687,1.001,0.126,0.188,1.49,NA,NA,NA,0.464,0.294,1.578,18668,12500,1.493,0.659,0.475,1.385,0.639,0.615,1.039,0.937,0.824,1.137,0.39,0.332,1.175,0.164,0.527,0.311,0.446,0.142,3.15,0.495,0.574,1.161,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936302065849304,0.877245426177979,1.06732058525085
1978,8,0.916,0.932,1.017,0.51,0.768,1.507,0.89,0.913,1.026,0.687,0.683,0.994,0.143,0.185,1.297,NA,NA,NA,0.407,0.288,1.412,17502,14214,1.231,0.745,0.619,1.204,0.634,0.629,1.008,0.912,0.833,1.095,0.352,0.32,1.1,0.171,0.588,0.29,0.478,0.092,5.196,0.467,0.508,1.087,NA,NA,NA,NA,NA,NA,"Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939756393432617,0.835958778858185,1.12416589260101
1978,9,0.931,0.955,1.026,0.521,0.749,1.438,0.909,0.924,1.017,0.641,0.664,1.034,0.139,0.208,1.497,NA,NA,NA,0.357,0.217,1.644,18520,11325,1.635,0.732,0.305,2.399,0.631,0.616,1.023,0.939,0.732,1.283,0.427,0.313,1.365,0.157,0.526,0.298,0.416,0.161,2.586,0.4,0.605,1.514,NA,NA,NA,NA,NA,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948338389396667,0.908931493759155,1.04335522651672
1978,10,0.863,0.91,1.055,0.501,0.729,1.454,0.88,0.912,1.037,0.625,0.621,0.993,0.093,0.158,1.692,NA,NA,NA,0.288,0.193,1.488,18954,13819,1.372,0.791,0.441,1.796,0.61,0.652,0.936,0.928,0.734,1.265,0.345,0.313,1.104,0.163,0.547,0.299,0.492,0.14,3.501,0.406,0.531,1.308,NA,NA,NA,NA,NA,NA,"Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898667514324188,0.863175928592682,1.04111742973328
1978,11,0.941,0.882,0.937,0.567,0.647,1.142,0.8,0.847,1.059,0.652,0.578,0.887,0.192,0.256,1.336,NA,NA,NA,0.654,0.327,1.996,24786,12800,1.936,0.506,0.399,1.269,0.547,0.624,0.876,0.908,0.794,1.143,0.355,0.296,1.2,0.346,0.689,0.502,0.299,0.015,19.557,0.394,0.531,1.346,NA,NA,NA,NA,NA,NA,"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975325524806976,0.892572581768036,1.09271287918091
1978,12,0.924,0.937,1.013,0.426,0.661,1.552,0.824,0.874,1.061,0.604,0.6,0.994,0.088,0.141,1.601,NA,NA,NA,0.314,0.23,1.367,14375,10551,1.362,0.776,0.513,1.512,0.511,0.609,0.838,0.908,0.69,1.316,0.376,0.293,1.282,0.152,0.55,0.277,0.472,0.157,3.011,0.405,0.548,1.351,NA,NA,NA,NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943047344684601,0.904818534851074,1.04225027561188
1978,13,0.932,0.962,1.032,0.48,0.748,1.556,0.815,0.863,1.059,0.542,0.562,1.037,0.116,0.14,1.207,NA,NA,NA,0.329,0.132,2.487,16500,8572,1.925,0.75,0.451,1.662,0.608,0.58,1.048,0.891,0.677,1.316,0.331,0.288,1.149,0.145,0.526,0.276,0.524,0.186,2.813,0.297,0.307,1.033,NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959623336791992,0.914405882358551,1.04945003986359
1978,15,0.924,0.936,1.013,0.564,0.718,1.273,0.909,0.921,1.014,0.613,0.661,1.079,0.113,0.161,1.429,NA,NA,NA,0.547,0.302,1.808,19745,20714,0.953,0.464,0.668,0.695,0.654,0.636,1.028,0.919,0.914,1.005,0.301,0.323,0.931,0.212,0.549,0.386,0.487,0.128,3.805,0.6,0.572,0.952,NA,NA,NA,NA,NA,NA,"Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935570597648621,0.931211352348328,1.00468122959137
1978,16,0.934,0.921,0.986,0.491,0.771,1.572,0.879,0.919,1.046,0.672,0.669,0.996,0.081,0.156,1.931,NA,NA,NA,0.357,0.115,3.1,15603,8747,1.784,0.712,0.432,1.647,0.622,0.765,0.812,0.903,0.776,1.163,0.304,0.298,1.019,0.113,0.521,0.216,0.584,0.181,3.232,0.115,0.559,4.845,NA,NA,NA,NA,NA,NA,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925405919551849,0.978408455848694,0.945827782154083
1978,17,0.918,0.94,1.024,0.476,0.77,1.616,0.879,0.907,1.031,0.606,0.618,1.019,0.104,0.17,1.627,NA,NA,NA,0.332,0.238,1.399,19915,11000,1.81,0.762,0.405,1.882,0.626,0.565,1.108,0.94,0.698,1.347,0.346,0.291,1.191,0.177,0.556,0.318,0.476,0.153,3.114,0.479,0.528,1.102,NA,NA,NA,NA,NA,NA,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.947596728801727,0.848465502262115,1.11683595180511
1978,18,0.913,0.932,1.021,0.486,0.746,1.533,0.897,0.937,1.044,0.62,0.611,0.985,0.082,0.124,1.515,NA,NA,NA,0.237,0.189,1.258,16100,14996,1.074,0.768,0.62,1.238,0.606,0.659,0.92,0.928,0.797,1.163,0.289,0.243,1.188,0.128,0.506,0.253,0.583,0.251,2.323,0.382,0.456,1.193,NA,NA,NA,NA,NA,NA,"Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.933551073074341,0.826411485671997,1.1296443939209
1978,19,0.96,0.945,0.985,0.501,0.778,1.551,0.902,0.929,1.03,0.673,0.619,0.921,0.091,0.124,1.365,NA,NA,NA,0.257,0.189,1.358,16000,12484,1.282,0.785,0.534,1.47,0.639,0.556,1.149,0.919,0.802,1.145,0.273,0.283,0.966,0.124,0.54,0.23,0.603,0.177,3.408,0.573,0.488,0.852,NA,NA,NA,NA,NA,NA,"Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950573027133942,0.9823277592659,0.967674016952515
1978,20,0.959,0.967,1.009,0.51,0.762,1.493,0.879,0.916,1.042,0.692,0.675,0.976,0.111,0.185,1.662,NA,NA,NA,0.366,0.23,1.589,15471,11000,1.406,0.752,0.443,1.696,0.627,0.613,1.024,0.915,0.735,1.245,0.332,0.285,1.165,0.119,0.569,0.209,0.549,0.146,3.763,0.227,0.549,2.417,NA,NA,NA,NA,NA,NA,"Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96335369348526,0.971163511276245,0.991958260536194
1978,21,0.931,0.942,1.012,0.431,0.762,1.768,0.85,0.893,1.05,0.536,0.53,0.989,0.079,0.107,1.351,NA,NA,NA,0.231,0.096,2.406,14880,9989,1.49,0.793,0.612,1.295,0.595,0.515,1.155,0.891,0.616,1.447,0.293,0.244,1.199,0.106,0.551,0.192,0.601,0.205,2.938,0.343,0.31,0.905,NA,NA,NA,NA,NA,NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943972408771515,0.855767965316772,1.10307049751282
1978,22,0.934,0.935,1.001,0.413,0.741,1.792,0.796,0.843,1.058,0.565,0.563,0.996,0.103,0.123,1.201,NA,NA,NA,0.304,0.191,1.597,17653,9350,1.888,0.713,0.58,1.229,0.584,0.517,1.129,0.906,0.62,1.461,0.32,0.344,0.928,0.13,0.566,0.23,0.55,0.089,6.151,0.396,0.394,0.994,NA,NA,NA,NA,NA,NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.960874617099762,0.854470312595367,1.12452661991119
1978,23,0.927,0.937,1.011,0.458,0.715,1.561,0.858,0.908,1.058,0.613,0.598,0.976,0.089,0.153,1.71,NA,NA,NA,0.266,0.188,1.415,13602,9428,1.443,0.803,0.529,1.518,0.578,0.611,0.947,0.886,0.6,1.476,0.345,0.285,1.211,0.156,0.481,0.324,0.499,0.234,2.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937355697154999,0.654999494552612,1.43107855319977
1978,24,0.931,0.938,1.008,0.5,0.767,1.533,0.91,0.917,1.009,0.642,0.62,0.966,0.131,0.217,1.66,NA,NA,NA,0.366,0.24,1.524,22661,15950,1.421,0.802,0.48,1.67,0.638,0.605,1.055,0.952,0.799,1.191,0.427,0.329,1.297,0.174,0.587,0.296,0.399,0.084,4.733,0.381,0.519,1.365,NA,NA,NA,NA,NA,NA,"Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958646297454834,0.862490057945251,1.11148679256439
1978,25,0.947,0.935,0.987,0.495,0.775,1.568,0.896,0.931,1.038,0.664,0.668,1.005,0.126,0.201,1.593,NA,NA,NA,0.346,0.219,1.576,18529,11730,1.58,0.71,0.366,1.941,0.629,0.583,1.08,0.93,0.639,1.455,0.379,0.292,1.298,0.198,0.527,0.376,0.422,0.18,2.341,0.519,0.62,1.195,NA,NA,NA,NA,NA,NA,"Massachusetts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943586111068726,0.856869578361511,1.10120153427124
1978,26,0.921,0.931,1.011,0.471,0.748,1.589,0.907,0.933,1.029,0.626,0.604,0.965,0.081,0.127,1.572,NA,NA,NA,0.288,0.237,1.217,19050,13743,1.386,0.85,0.649,1.31,0.604,0.595,1.016,0.937,0.802,1.168,0.295,0.266,1.111,0.147,0.575,0.256,0.557,0.159,3.496,0.525,0.591,1.126,NA,NA,NA,NA,NA,NA,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938128709793091,0.841722309589386,1.11453473567963
1978,27,0.927,0.943,1.017,0.544,0.751,1.381,0.914,0.932,1.019,0.706,0.667,0.945,0.122,0.168,1.383,NA,NA,NA,0.315,0.361,0.874,17010,16250,1.047,0.82,0.717,1.143,0.647,0.677,0.957,0.925,0.842,1.098,0.394,0.285,1.381,0.155,0.592,0.262,0.452,0.124,3.656,0.293,0.68,2.322,NA,NA,NA,NA,NA,NA,"Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936900198459625,0.918403148651123,1.0201404094696
1978,28,0.919,0.958,1.042,0.42,0.668,1.59,0.717,0.788,1.099,0.489,0.482,0.984,0.079,0.12,1.515,NA,NA,NA,0.306,0.163,1.877,14500,7200,2.014,0.829,0.623,1.33,0.571,0.471,1.212,0.876,0.561,1.562,0.283,0.207,1.367,0.131,0.502,0.262,0.586,0.291,2.012,0.431,0.542,1.257,NA,NA,NA,NA,NA,NA,"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979451358318329,0.861934304237366,1.1363410949707
1978,29,0.921,0.947,1.028,0.495,0.727,1.467,0.828,0.862,1.041,0.605,0.616,1.017,0.098,0.161,1.638,NA,NA,NA,0.312,0.184,1.694,15698,9100,1.725,0.734,0.441,1.665,0.603,0.6,1.006,0.878,0.627,1.401,0.342,0.272,1.258,0.137,0.567,0.241,0.521,0.161,3.242,0.488,0.557,1.143,NA,NA,NA,NA,NA,NA,"Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944248914718628,0.87753814458847,1.07602035999298
1978,30,0.94,0.914,0.972,0.521,0.729,1.4,0.862,0.871,1.01,0.673,0.599,0.89,0.1,0.124,1.236,NA,NA,NA,0.303,0.164,1.846,15194,10422,1.458,0.773,0.588,1.315,0.635,0.517,1.227,0.889,0.635,1.401,0.304,0.301,1.012,0.119,0.56,0.212,0.577,0.139,4.14,0.173,0.64,3.707,NA,NA,NA,NA,NA,NA,"Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932290971279144,0.816137909889221,1.14232039451599
1978,31,0.97,0.965,0.995,0.556,0.782,1.406,0.876,0.901,1.028,0.637,0.645,1.013,0.105,0.136,1.297,NA,NA,NA,0.294,0.201,1.466,15418,10520,1.466,0.782,0.492,1.59,0.662,0.66,1.003,0.899,0.73,1.231,0.294,0.313,0.937,0.134,0.504,0.267,0.572,0.183,3.124,0.564,0.545,0.967,NA,NA,NA,NA,NA,NA,"Nebraska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967173397541046,0.974620878696442,0.992358565330505
1978,32,0.937,0.977,1.043,0.541,0.803,1.483,0.894,0.921,1.03,0.652,0.673,1.032,0.079,0.128,1.628,NA,NA,NA,0.331,0.236,1.4,17592,14400,1.222,0.714,0.477,1.498,0.66,0.727,0.909,0.932,0.775,1.203,0.291,0.259,1.122,0.313,0.68,0.459,0.397,0.06,6.584,0.414,0.443,1.068,NA,NA,NA,NA,NA,NA,"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962826311588287,0.950762450695038,1.01268863677979
1978,33,0.967,0.948,0.98,0.528,0.745,1.411,0.948,0.965,1.018,0.668,0.639,0.956,0.157,0.159,1.015,NA,NA,NA,0.334,0.158,2.11,17626,12000,1.469,0.734,0.481,1.524,0.634,0.573,1.107,0.956,1,0.956,0.364,0.308,1.18,0.118,0.48,0.245,0.519,0.212,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955788552761078,1,0.955788552761078
1978,34,0.917,0.932,1.016,0.446,0.72,1.614,0.9,0.93,1.034,0.611,0.604,0.989,0.119,0.177,1.49,NA,NA,NA,0.317,0.201,1.578,20700,12121,1.708,0.766,0.404,1.895,0.583,0.544,1.072,0.951,0.748,1.272,0.415,0.306,1.354,0.158,0.538,0.294,0.427,0.156,2.746,0.348,0.49,1.408,NA,NA,NA,NA,NA,NA,"New Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936653077602386,0.868194401264191,1.07885181903839
1978,35,0.944,0.949,1.005,0.449,0.742,1.651,0.806,0.82,1.017,0.59,0.602,1.02,0.098,0.154,1.563,NA,NA,NA,0.425,0.152,2.793,17050,10500,1.624,0.765,0.728,1.051,0.634,0.534,1.186,0.919,0.678,1.356,0.369,0.292,1.264,0.127,0.594,0.213,0.504,0.114,4.439,0.353,0.554,1.572,NA,NA,NA,NA,NA,NA,"New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9700887799263,0.908717095851898,1.06753659248352
1978,36,0.927,0.911,0.984,0.445,0.7,1.572,0.866,0.9,1.038,0.62,0.621,1.002,0.107,0.163,1.516,NA,NA,NA,0.329,0.213,1.547,17884,9600,1.863,0.672,0.262,2.56,0.572,0.533,1.072,0.929,0.715,1.299,0.373,0.307,1.216,0.221,0.558,0.395,0.406,0.135,3.012,0.389,0.544,1.398,NA,NA,NA,NA,NA,NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928787112236023,0.870848655700684,1.06653106212616
